PUR,INDIV,SING
8651.0,11916.0,8166.0
8565.0,11812.0,8051.0
8668.0,11757.0,8125.0
8630.0,11700.0,8119.0
8618.0,11638.0,8051.0
8560.0,11588.0,8015.0
8431.0,11407.0,7889.0
8519.0,11540.0,7975.0
8482.0,11528.0,7913.0
8439.0,11395.0,7905.0
8221.0,11315.0,7678.0
8361.0,11190.0,7802.0
8199.0,11275.0,7638.0
8192.0,11113.0,7652.0
8235.0,11183.0,7698.0
8192.0,10948.0,7634.0
8113.0,11054.0,7558.0
8090.0,10886.0,7557.0
7998.0,10774.0,7429.0
7966.0,10829.0,7401.0
7979.0,10834.0,7418.0
8015.0,10730.0,7419.0
7861.0,10689.0,7281.0
7841.0,10486.0,7275.0
7661.0,10436.0,7097.0
7681.0,10549.0,7097.0
7670.0,10531.0,7088.0
7726.0,10386.0,7164.0
7669.0,10326.0,7066.0
7644.0,10123.0,7052.0
7508.0,10148.0,6909.0
7363.0,10118.0,6766.0
7370.0,10220.0,6778.0
7608.0,10029.0,7016.0
7420.0,10074.0,6843.0
7283.0,9845.0,6688.0
7401.0,9680.0,6785.0
7424.0,9643.0,6807.0
7339.0,9780.0,6690.0
7313.0,9645.0,6722.0
7254.0,9530.0,6667.0
7258.0,9619.0,6664.0
7095.0,9669.0,6505.0
7193.0,9522.0,6601.0
7191.0,9540.0,6580.0
7083.0,9535.0,6507.0
6893.0,9445.0,6284.0
6960.0,9235.0,6342.0
6864.0,9378.0,6268.0
6812.0,9373.0,6178.0
6932.0,9228.0,6296.0
6925.0,9035.0,6252.0
6817.0,9147.0,6203.0
6672.0,8943.0,6097.0
6721.0,8795.0,6135.0
6707.0,8896.0,6111.0
6631.0,8826.0,6005.0
6651.0,8832.0,6041.0
6563.0,8697.0,5951.0
6619.0,8743.0,6016.0
6690.0,8666.0,6061.0
6609.0,8600.0,5983.0
6580.0,8590.0,5966.0
6608.0,8490.0,5991.0
6611.0,8585.0,6000.0
6492.0,8630.0,5881.0
6482.0,8508.0,5845.0
6414.0,8523.0,5765.0
6288.0,8459.0,5675.0
6395.0,8557.0,5780.0
6291.0,8349.0,5679.0
6348.0,8260.0,5735.0
6357.0,8262.0,5712.0
6383.0,8108.0,5746.0
6514.0,8190.0,5893.0
6416.0,8184.0,5781.0
6267.0,8165.0,5649.0
6274.0,8079.0,5646.0
6389.0,8119.0,5721.0
6232.0,8295.0,5592.0
6165.0,8171.0,5562.0
6092.0,8004.0,5477.0
6056.0,8009.0,5425.0
6074.0,8108.0,5464.0
6095.0,7954.0,5451.0
6076.0,7896.0,5445.0
6062.0,7818.0,5396.0
5934.0,7755.0,5287.0
5942.0,7732.0,5314.0
5963.0,7824.0,5360.0
6044.0,7805.0,5434.0
5890.0,7711.0,5289.0
5879.0,7646.0,5259.0
5903.0,7630.0,5293.0
5894.0,7576.0,5247.0
5917.0,7750.0,5268.0
5902.0,7560.0,5257.0
5897.0,7444.0,5255.0
5894.0,7525.0,5269.0
5774.0,7493.0,5128.0
5698.0,7515.0,5076.0
5702.0,7519.0,5039.0
5753.0,7515.0,5111.0
5769.0,7514.0,5119.0
5855.0,7379.0,5196.0
5721.0,7280.0,5082.0
5789.0,7273.0,5149.0
5787.0,7349.0,5132.0
5756.0,7297.0,5136.0
5655.0,7424.0,4986.0
5630.0,7367.0,5004.0
5701.0,7326.0,5064.0
5706.0,7342.0,5044.0
5722.0,7372.0,5087.0
5710.0,7164.0,5045.0
5601.0,7229.0,4925.0
5583.0,7259.0,4953.0
5620.0,7255.0,4970.0
5537.0,7239.0,4900.0
5601.0,7227.0,4950.0
5650.0,7104.0,4972.0
5592.0,7166.0,4961.0
5606.0,7181.0,4970.0
5529.0,7107.0,4891.0
5496.0,7169.0,4824.0
5658.0,7218.0,4962.0
5499.0,7118.0,4834.0
5524.0,7117.0,4866.0
5670.0,7058.0,4971.0
5692.0,6991.0,4969.0
5497.0,7099.0,4808.0
5540.0,6936.0,4896.0
5482.0,7001.0,4791.0
5505.0,7157.0,4835.0
5574.0,7148.0,4898.0
5492.0,7010.0,4822.0
5541.0,7087.0,4857.0
5526.0,6913.0,4838.0
5398.0,7000.0,4695.0
5398.0,7079.0,4727.0
5423.0,6955.0,4737.0
5420.0,7039.0,4766.0
5395.0,7044.0,4708.0
5406.0,6834.0,4715.0
5576.0,6841.0,4869.0
5457.0,6860.0,4744.0
5447.0,6876.0,4750.0
5512.0,6858.0,4806.0
5594.0,6903.0,4879.0
5492.0,7076.0,4801.0
5373.0,6945.0,4686.0
5424.0,6942.0,4727.0
5447.0,7037.0,4765.0
5379.0,7062.0,4679.0
5395.0,6972.0,4700.0
5462.0,6835.0,4721.0
5539.0,6853.0,4851.0
5569.0,6897.0,4860.0
5500.0,6890.0,4797.0
5440.0,6856.0,4732.0
5493.0,6908.0,4779.0
5532.0,7003.0,4820.0
5532.0,6939.0,4822.0
5554.0,6951.0,4837.0
5555.0,6884.0,4799.0
5531.0,6943.0,4798.0
5541.0,6956.0,4794.0
5485.0,6967.0,4746.0
5498.0,6988.0,4786.0
5521.0,6919.0,4820.0
5389.0,6900.0,4730.0
5580.0,6911.0,4831.0
5531.0,6800.0,4786.0
5572.0,6803.0,4855.0
5608.0,6932.0,4855.0
